C2_F1_UniqueSLD,C2_F3_ChatSessionCount,C2_F6_ProductivityHits,C3_F1_FoodDeliveryHits,C3_F2_LateNightDeliveryRatio,C3_F3_MeanInterOrderDays,C3_F4_DietSiteVisits,C3_F5_TrackerBurstCount,C3_F6_SmartScaleUploads,C3_F7_WeighInTimeVarMin,C5_F1_DhcpPerHour,C5_F2_WifiDwellMin,C5_F3_MedianIKS,C5_F4_IKSStd,C5_F5_Sub30sSessions,C5_F6_SessionFano,C6_F1_LongestMiddayIdleMin,C6_F2_DayActiveSessionCount,C6_F3_DayIdleRatio_09_18,C6_F4_UpstreamBpsPerActiveHour,C6_F5_PostChatCount,C6_F6_MedianInterReqSec,C6_F7_InterReqFano,C6_F8_FirstActivityMin,C6_F9_ActivationDelayVsBase28d,C7_F1_MentalHealthSiteVisitsDay,C7_F2_NegativeSelfSearchRatio,C7_F3_SelfAssessmentDwellSec,C7_F4_HelpTherapyLookupHits,C7_F5_AccountDeleteUnsubCount,C7_F6_SettingsPrivacyDwellSec,C7_F7_SocialOutgoingShareUp,C7_F8_CloudUploadBytesToday,C8_F1_MedianPageDwellSec,C8_F2_DNSBurstRatePerHour,C8_F3_NotificationMicroSessionsCount,C8_F4_RepeatedQueryRatio60m,C8_F5_QueryReformulationMax,C8_F6_BackNavShare,C8_F7_SERPTimeToFirstClickSec,C8_F8_MedianIKSsec,C9_F1_CrisisLineHits,C9_F2_SuicideMethodQueryRatio,C9_F3_TherapyBookingVisits,C9_F4_SelfHarmForumVisits,C9_F5_SelfHarmForumUpBytes,C9_F6_SelfHarmForumMeanSessLenSec,C9_F7_WillInsuranceDownloads,C9_F8_CloudBackupUpBytesToday,C9_F9_AccountDeletionRequestsCount,C9_F10_NightSuicideQueryBursts,C9_F11_NightNegativeSearchRatio,n_total_packets_today,n_night_packets_today,night_pkts_today,day_pkts_today,down_bytes_today,up_bytes_today,LateNightShare,LongestInactivityHours,ActiveNightMinutes,ActiveDayMinutes,ND_Ratio,IS,IV,F1_DistinctSocial,F2_MeanSocialDurSec,Date,F3_LongStreams,F4_DownUpRatio,F5_RevisitRatio,F6_Fano,F7_HourlyCV,F8_NightDayRatioPkts,C2_F2_MedianReplyLatencySec,C2_F4_MeanUpstreamRateBps,C2_F5_PassiveActiveByteRatio,C2_F7_SocialOutgoingShareUp,C4_F1_OnsetDelayFrom2200Min,C4_F2_WakeAfter0400Min,C4_F3_OnsetVar14dMin,C4_F4_SleepDurationZAbs30d,C4_F5_NocturnalMicroSessionCount0106,C4_F6_MeanInterAwakGapMin0106,C4_F7_DaytimeIdleRatio0818,C4_F8_NightDayTrafficRatioBytes
88.0,17.0,7704.0,0.0,,,0.0,0.0,0.0,,4.320863635258327,0.9026492833333334,0.0005915,0.10592799688508528,0.0,,,,,269.58391975308643,7280.0,0.0,76.40990492018054,925.2,,0.0,0.0,,0.0,,,,0.0,,3.5655737704918034,0.0,0.8991399530883503,,,,0.0005915,0.0,0.0,,0.0,,,,0.0,,0.0,,353223.0,0.0,1130.0,352093.0,313501490.0,8734519.0,0.0,0.26944444444444443,0.0,288.0,0.0,4.725012667328814,1.6769038454999738,8.0,252.65965511764705,2015-03-05,0.0,35.892244323929,0.9996174495185515,57311.22200503199,2.5928404351323175,0.0,,207.06571446665126,0.0,1.0,,,,,0.0,,0.15483870967741936,0.0
365.0,27.0,18382.0,0.0,,,0.0,0.0,0.0,,0.8339353004763791,71.45510513421054,0.00042,0.23520095253586018,0.0,,,,,170.94881944444444,40835.0,0.0,59.69041544525865,240.08333333333334,,0.0,0.0,,0.0,,,1.0,0.0,,13.087108013937282,0.0,0.8772490331259458,,,,0.00042,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,306642.0,3411.0,9852.0,296790.0,156433480.0,14769978.0,0.01112372082102256,0.1313888888888889,340.0,780.0,0.4358974358974359,0.05952661791302982,1.6619231626114503,69.0,1739.2702755185182,2015-03-06,0.0,10.591314354022735,0.9970193132171001,6226.026642713646,1.999453015290237,0.011492974830688365,,129.16090627906846,0.0,1.0,419.70573433333334,1080.1984596833333,,,0.0,,0.0,0.0032425796769037225
11.0,1.0,4324.0,0.0,,,0.0,0.0,0.0,,0.33357261385293735,136.63502383333332,0.00345,0.28969407179534373,0.0,,,,,63.112743055555555,12833.0,0.0,26.06588428255098,240.13333333333333,,0.0,0.0,,0.0,,,1.0,0.0,,22.89089645587213,0.0,0.996355265681949,,,,0.00345,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,76411.0,19001.0,25459.0,50952.0,6599051.0,5452941.0,0.24866838544188663,0.03138888888888889,360.0,780.0,0.46153846153846156,,,4.0,86041.886406,2015-03-07,0.0,1.2101819916995251,0.99973313925279,31.037798868036727,0.03801429747958696,0.37291961061391116,,30.5524682199051,0.0,1.0,419.96864216666665,1080.4966085166666,,,0.0,,0.0,0.3863774912075029
10.0,1.0,3687.0,0.0,,,0.0,0.0,0.0,,0.33357636537867125,113.07953788809526,0.0033115,0.2818903203815004,0.0,,,,,62.85664351851852,12860.0,0.0,25.101514136907877,240.48333333333332,,0.0,0.0,,0.0,,,1.0,0.0,,19.138290479499652,0.0,0.9965602904643608,,,,0.0033115,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,76835.0,19001.0,25503.0,51332.0,6620607.0,5430814.0,0.24729615409644043,0.03138888888888889,360.0,780.0,0.46153846153846156,,,4.0,86230.423813,2015-03-08,0.0,1.2190818908546674,0.9997551120362435,25.400283932741758,0.03674718589411793,0.37015896516792646,,30.63395589622231,0.0,1.0,419.95991208333334,1080.48789775,,,0.0,,0.0,0.36144650559400066
524.0,1.0,36050.0,0.0,,,0.0,0.0,0.0,,2.8341767580285397,16.264880292537313,0.000382,0.22569985470831683,0.0,,,,,488.74861111111113,97139.0,0.0,14.814185397554565,240.11666666666667,,0.0,0.0,,0.0,,,1.0,0.0,,15.427380125086865,0.0,0.9081304168386298,,,,0.000382,0.0,0.0,,25.0,,,,0.0,,0.0,0.0,1192571.0,19235.0,28008.0,1164563.0,926736631.0,42227880.0,0.016129018733475827,0.025277777777777777,360.0,780.0,0.46153846153846156,,,98.0,86186.425149,2015-03-09,0.0,21.94608469570341,0.9989742023640329,53801.79635698768,3.0103724223408137,0.01651692523289852,,231.34797580395232,0.0,1.0,419.94934565,1080.0989223000001,,,0.0,,0.0,0.003510456222324022
240.0,1.0,18343.0,0.0,,,0.0,0.0,0.0,,1.1668157290236365,49.63596907592592,0.000267,0.2995784037252312,0.0,,,,,263.43542824074075,110440.0,0.0,9.59125271377376,240.08333333333334,,0.0,0.0,,0.0,,,1.0,1155282.0,,17.84572619874913,0.0,0.9461472967220094,,,,0.000267,0.0,0.0,,0.0,,,,1155282.0,,0.0,0.0,355447.0,26035.0,34222.0,321225.0,171670787.0,22760821.0,0.07324580035842193,0.0075,360.0,780.0,0.46153846153846156,,,93.0,86388.962278,2015-03-10,0.0,7.542381138184778,0.9982764687717686,23540.799121386077,1.8878949639087024,0.08104910888006849,,227.1141414670808,0.0,1.0,419.9349528166667,1080.0731821833333,,,0.0,,0.0,0.03050590975253873
425.0,1.0,17223.0,0.0,,,0.0,0.0,0.0,,0.9167516814428552,63.81682950317462,0.002913,0.45445537808476405,0.0,,,,,226.00276620370371,47262.0,0.0,9.751098042091437,240.06666666666666,,0.0,0.0,,0.0,,,1.0,829646.0,,46.52294853963839,0.0,0.9099765258215963,,,,0.002913,0.0,0.0,,0.0,,,,829646.0,,0.0,0.0,369434.0,24191.0,32794.0,336640.0,163594937.0,19526639.0,0.06548124969548011,0.006944444444444444,360.0,780.0,0.46153846153846156,,,67.0,86391.671843,2015-03-11,0.0,8.378038688583324,0.998071582844801,24246.092893987145,1.6556230811296124,0.07186014733840304,,106.0579313322133,0.0,1.0,419.9252812166667,1080.0230294166665,,,0.0,,0.0,0.021704637635592557
102.0,1.0,23720.0,0.0,,,0.0,0.0,0.0,,1.16678042385522,51.29121825246913,0.044916,0.5603730686450303,0.0,,,,,117.22149305555556,36542.0,0.0,9.311676312523987,240.05,,0.0,0.0,,0.0,,,1.0,830658.0,,30.604586518415566,0.0,0.9526406429391504,,,,0.044916,0.0,0.0,,0.0,,,,830658.0,,0.0,0.0,140012.0,38318.0,49245.0,90767.0,20970698.0,10127937.0,0.2736765420106848,0.0077777777777777776,360.0,780.0,0.46153846153846156,,,14.0,86375.130469,2015-03-12,0.0,2.07057942797235,0.9974351237175618,468.4263738504953,0.29040591966384965,0.4221578326924984,,83.39675970255466,0.0,1.0,419.97134124999997,1080.0553788,,0.6615058368671131,0.0,,0.0,0.6458388309398023
301.0,1.0,19506.0,0.0,,,0.0,0.0,0.0,,1.3334565072574402,43.22941141505376,0.010173999999999999,0.5494019519439471,0.0,,,,,272.5722800925926,42754.0,0.0,9.073766210838475,240.0,,0.0,0.0,,0.0,,,1.0,959036.0,,58.24878387769284,0.0,0.8844569694342077,,,,0.010173999999999999,0.0,0.0,,0.0,,,,959036.0,,0.0,0.0,394323.0,30110.0,40048.0,354275.0,211918545.0,23550245.0,0.07635872114992025,0.0077777777777777776,360.0,780.0,0.46153846153846156,,,53.0,86391.597739,2015-03-13,0.0,8.998570715506357,0.9980523346102081,22459.648374540015,2.9575188150463982,0.08499047350222284,,126.99691043041237,0.0,1.0,419.89901145,1080.1417933333332,,0.606152683112492,0.0,,0.0,0.02157549959398289
24.0,1.0,12809.0,0.0,,,0.0,0.0,0.0,,0.9167596856563398,63.81397330555555,0.201618,0.7449020369044999,0.0,,,,,113.48458333333333,21525.0,0.0,8.127932940619791,240.06666666666666,,0.0,0.0,,0.0,,,1.0,842620.0,,59.2494788047255,0.0,0.9871756635848494,,,,0.201618,0.0,0.0,,0.0,,,,842620.0,,0.0,0.0,111699.0,27683.0,36718.0,74981.0,10833540.0,9805068.0,0.24783570130439841,0.008055555555555555,360.0,780.0,0.46153846153846156,,,7.0,86391.233427,2015-03-14,0.0,1.1048918783633117,0.999227749533432,59.3769612418192,0.054046211111336936,0.3692001973833371,,89.6666790449944,0.0,1.0,419.98547303333334,1080.03094935,,0.5598837797588574,0.0,,0.0,0.35207203367720225
