C2_F1_UniqueSLD,C2_F3_ChatSessionCount,C2_F6_ProductivityHits,C3_F1_FoodDeliveryHits,C3_F2_LateNightDeliveryRatio,C3_F3_MeanInterOrderDays,C3_F4_DietSiteVisits,C3_F5_TrackerBurstCount,C3_F6_SmartScaleUploads,C3_F7_WeighInTimeVarMin,C5_F1_DhcpPerHour,C5_F2_WifiDwellMin,C5_F3_MedianIKS,C5_F4_IKSStd,C5_F5_Sub30sSessions,C5_F6_SessionFano,C6_F1_LongestMiddayIdleMin,C6_F2_DayActiveSessionCount,C6_F3_DayIdleRatio_09_18,C6_F4_UpstreamBpsPerActiveHour,C6_F5_PostChatCount,C6_F6_MedianInterReqSec,C6_F7_InterReqFano,C6_F8_FirstActivityMin,C6_F9_ActivationDelayVsBase28d,C7_F1_MentalHealthSiteVisitsDay,C7_F2_NegativeSelfSearchRatio,C7_F3_SelfAssessmentDwellSec,C7_F4_HelpTherapyLookupHits,C7_F5_AccountDeleteUnsubCount,C7_F6_SettingsPrivacyDwellSec,C7_F7_SocialOutgoingShareUp,C7_F8_CloudUploadBytesToday,C8_F1_MedianPageDwellSec,C8_F2_DNSBurstRatePerHour,C8_F3_NotificationMicroSessionsCount,C8_F4_RepeatedQueryRatio60m,C8_F5_QueryReformulationMax,C8_F6_BackNavShare,C8_F7_SERPTimeToFirstClickSec,C8_F8_MedianIKSsec,C9_F1_CrisisLineHits,C9_F2_SuicideMethodQueryRatio,C9_F3_TherapyBookingVisits,C9_F4_SelfHarmForumVisits,C9_F5_SelfHarmForumUpBytes,C9_F6_SelfHarmForumMeanSessLenSec,C9_F7_WillInsuranceDownloads,C9_F8_CloudBackupUpBytesToday,C9_F9_AccountDeletionRequestsCount,C9_F10_NightSuicideQueryBursts,C9_F11_NightNegativeSearchRatio,n_total_packets_today,n_night_packets_today,night_pkts_today,day_pkts_today,down_bytes_today,up_bytes_today,LateNightShare,LongestInactivityHours,ActiveNightMinutes,ActiveDayMinutes,ND_Ratio,IS,IV,F1_DistinctSocial,F2_MeanSocialDurSec,Date,F3_LongStreams,F4_DownUpRatio,F5_RevisitRatio,F6_Fano,F7_HourlyCV,F8_NightDayRatioPkts,C2_F2_MedianReplyLatencySec,C2_F4_MeanUpstreamRateBps,C2_F5_PassiveActiveByteRatio,C2_F7_SocialOutgoingShareUp,C4_F1_OnsetDelayFrom2200Min,C4_F2_WakeAfter0400Min,C4_F3_OnsetVar14dMin,C4_F4_SleepDurationZAbs30d,C4_F5_NocturnalMicroSessionCount0106,C4_F6_MeanInterAwakGapMin0106,C4_F7_DaytimeIdleRatio0818,C4_F8_NightDayTrafficRatioBytes
0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,1.0,,,,,,,,,842.15,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,522314.0,0.0,0.0,522314.0,,,0.0,0.1175,0.0,9.0,0.0,1.4374999999999998,0.5952380952380951,0.0,202.1765,2023-05-22,0.0,,,36901.12695224201,0.0,0.0,,,,1.0,,,,,0.0,,0.4,0.0
0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,472.78333333333336,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,3119899.0,0.0,0.0,3119899.0,,,0.0,1.4077777777777778,0.0,7.0,0.0,0.18997398955693665,0.2081287024932574,0.0,215.459,2023-05-29,0.0,,,501031.46724519867,0.7568912933367825,0.0,,,,1.0,,,,,0.0,,0.9186046511627907,0.0
0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,240.0,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,666037.0,334512.0,334512.0,331525.0,,,0.5022423679164971,6.115555555555556,8.0,8.0,1.0,1.0794252182933362,0.3920025641025641,0.0,163.8535,2023-06-20,0.0,,,93966.3024054395,1.6366943473574416,1.0090098785913582,,,,1.0,,,,,2.0,6.3811,0.9459459459459459,0.9586853929222761
0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,293.43333333333334,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,438641.0,438641.0,438641.0,0.0,,,1.0,0.14694444444444443,8.0,0.0,,0.9180314100949021,0.5333333333333333,0.0,113.824,2023-06-27,0.0,,,97659.28846354422,0.9940361252140133,inf,,,,1.0,,,,,2.0,8.82715,,inf
0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,486.8666666666667,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,684426.0,0.0,0.0,684426.0,,,0.0,0.10444444444444445,0.0,13.0,0.0,1.3842592592592595,0.787952787952788,0.0,120.1915,2023-06-28,0.0,,,71746.09388065859,0.0,0.0,,,,1.0,,,,,0.0,,0.4090909090909091,0.0
0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,249.58333333333334,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,347030.0,347030.0,347030.0,0.0,,,1.0,0.09555555555555556,8.0,0.0,,1.5333333333333328,0.7041666666666665,0.0,168.301,2023-06-29,0.0,,,71865.1706627004,0.0,inf,,,,1.0,,,,,2.0,5.748683333333333,,inf
0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,596.95,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,336618.0,0.0,0.0,336618.0,,,0.0,0.18222222222222223,0.0,8.0,0.0,0.7896683673469387,0.4764705882352941,0.0,168.078,2023-06-30,0.0,,,84406.53357217973,0.9979917889120605,0.0,,,,1.0,,,,,0.0,,0.5555555555555556,0.0
0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,470.25,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,3036.0,0.0,0.0,3036.0,,,0.0,0.0011111111111111111,0.0,0.0,,,,0.0,,2023-07-07,0.0,,,175.84782608695653,0.0,0.0,,,,,,,,0.5220315760961861,0.0,,,0.0
71.0,2.0,87.0,0.0,,,0.0,0.0,1.0,0.01054092552806864,16.33333319037466,3.7141738528571433,0.0009335,0.43492149291080956,0.0,,,,,6.932685185185186,304.0,0.0,6855.8811934505275,528.1833333333333,,0.0,0.0,,0.0,,,,0.0,,5.454545454545454,0.0,0.4511627906976744,,,,0.0009335,0.0,0.0,,0.0,,,,0.0,,0.0,,556451.0,0.0,0.0,556451.0,18106.0,74873.0,0.0,2.0341666666666667,0.0,12.0,0.0,0.5921743077874705,0.18458343768261123,42.0,303.59906,2023-09-05,0.0,0.24182281997515792,0.9995096109349855,162328.91084693003,1.720220408639109,0.0,,54.49084815945929,0.0,0.9255053691087,,,,0.4802984122590842,0.0,,0.9097744360902256,0.0
80.0,3.0,84.0,0.0,,,0.0,0.0,0.0,109.1943990297008,1.96337578234991,27.33457905714286,0.064501,0.4711302480175189,0.0,,,,,16.286666666666665,985.0,0.0,8789.525703029045,280.31666666666666,,0.0,0.0,,0.0,,,,0.0,,4.426229508196721,0.0,0.6728260869565217,,,,0.064501,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,1584186.0,359273.0,359273.0,1224913.0,14184.0,175896.0,0.2267871323190585,3.033888888888889,6.0,6.0,1.0,0.10341828918982614,0.2408263322179693,53.0,301.474346,2023-09-06,0.0,0.08063855914858781,0.999792416992745,258714.96447320865,0.8852139448230821,0.2933049122672386,,170.20314903463927,0.0,0.9833475142822414,,,,0.9494451604438632,0.0,,0.8666666666666667,0.21096246337230073
